,mature_mirna_acc,mature_mirna_id,target_symbol,target_entrez,target_ensembl,diana_microt,elmmo,microcosm,miranda,mirdb,pictar,pita,targetscan,predicted.sum,all.sum
1,MIMAT0002820,hsa-miR-497-5p,SEMA6D,80031,ENSG00000137872,1,4,1,2,1,1,1,1,8,8
2,MIMAT0002820,hsa-miR-497-5p,AK4,205,ENSG00000162433,1,2,0,1,1,1,1,1,7,7
3,MIMAT0002820,hsa-miR-497-5p,CCNE1,898,ENSG00000105173,2,4,0,2,2,1,2,2,7,7
4,MIMAT0002820,hsa-miR-497-5p,CD2AP,23607,ENSG00000198087,1,2,0,1,1,1,1,1,7,7
5,MIMAT0002820,hsa-miR-497-5p,CDK17,5128,ENSG00000059758,2,2,0,1,2,1,1,1,7,7
6,MIMAT0002820,hsa-miR-497-5p,FBXW7,55294,ENSG00000109670,2,2,0,1,2,1,2,1,7,7
7,MIMAT0002820,hsa-miR-497-5p,PAFAH1B1,5048,ENSG00000007168,2,4,0,1,1,1,2,1,7,7
8,MIMAT0002820,hsa-miR-497-5p,PLAG1,5324,ENSG00000181690,1,4,0,1,2,1,3,1,7,7
9,MIMAT0002820,hsa-miR-497-5p,PRDM4,11108,ENSG00000110851,2,2,0,1,1,1,1,1,7,7
10,MIMAT0002820,hsa-miR-497-5p,USP15,9958,ENSG00000135655,1,4,0,2,1,1,3,1,7,7
11,MIMAT0002820,hsa-miR-497-5p,ZBTB34,403341,ENSG00000177125,1,4,0,1,1,1,1,2,7,7
12,MIMAT0002820,hsa-miR-497-5p,ACTR2,10097,ENSG00000138071,1,4,0,1,2,1,0,1,6,6
13,MIMAT0002820,hsa-miR-497-5p,ADAMTS3,9508,ENSG00000156140,1,2,0,1,1,1,1,0,6,6
14,MIMAT0002820,hsa-miR-497-5p,AGO4,192670,ENSG00000134698,1,2,0,1,1,1,1,0,6,6
15,MIMAT0002820,hsa-miR-497-5p,AKT3,10000,ENSG00000117020,2,2,0,1,1,1,0,1,6,6
16,MIMAT0002820,hsa-miR-497-5p,ANO3,63982,ENSG00000134343,1,4,0,1,2,1,0,1,6,6
17,MIMAT0002820,hsa-miR-497-5p,APLN,8862,ENSG00000171388,1,14,0,0,1,1,1,1,6,6
18,MIMAT0002820,hsa-miR-497-5p,ASH1L,55870,ENSG00000116539,2,2,0,1,1,0,1,1,6,6
19,MIMAT0002820,hsa-miR-497-5p,ATXN2,6311,ENSG00000204842,1,2,0,2,2,0,1,1,6,6
20,MIMAT0002820,hsa-miR-497-5p,BDNF,627,ENSG00000176697,1,2,0,1,0,1,2,1,6,6
21,MIMAT0002820,hsa-miR-497-5p,BTRC,8945,ENSG00000166167,1,4,0,0,2,1,1,2,6,6
22,MIMAT0002820,hsa-miR-497-5p,C1orf21,81563,ENSG00000116667,2,2,0,0,1,1,2,1,6,6
23,MIMAT0002820,hsa-miR-497-5p,CACUL1,143384,ENSG00000151893,1,2,0,0,1,1,1,1,6,6
24,MIMAT0002820,hsa-miR-497-5p,CBX4,8535,ENSG00000141582,1,2,0,1,1,0,1,1,6,6
25,MIMAT0002820,hsa-miR-497-5p,CCND2,894,ENSG00000118971,2,2,0,0,1,1,2,1,6,6
26,MIMAT0002820,hsa-miR-497-5p,CDC37L1,55664,ENSG00000106993,2,2,0,1,1,0,1,1,6,6
27,MIMAT0002820,hsa-miR-497-5p,CDCA4,55038,ENSG00000170779,1,2,0,1,1,0,1,1,6,6
28,MIMAT0002820,hsa-miR-497-5p,CDK5R1,8851,ENSG00000176749,1,4,0,0,1,1,1,1,6,6
29,MIMAT0002820,hsa-miR-497-5p,CHEK1,1111,ENSG00000149554,1,2,0,1,2,0,1,1,6,6
30,MIMAT0002820,hsa-miR-497-5p,CNOT6L,246175,ENSG00000138767,1,6,0,0,2,1,2,1,6,6
31,MIMAT0002820,hsa-miR-497-5p,CPEB2,132864,ENSG00000137449,1,2,0,1,2,1,2,0,6,6
32,MIMAT0002820,hsa-miR-497-5p,CPEB3,22849,ENSG00000107864,2,2,0,1,1,1,0,1,6,6
33,MIMAT0002820,hsa-miR-497-5p,CUL2,8453,ENSG00000108094,2,2,1,1,0,0,1,1,6,6
34,MIMAT0002820,hsa-miR-497-5p,CYP26B1,56603,ENSG00000003137,2,2,0,1,2,0,1,1,6,6
35,MIMAT0002820,hsa-miR-497-5p,DDX3X,1654,ENSG00000215301,1,2,0,2,1,0,1,1,6,6
36,MIMAT0002820,hsa-miR-497-5p,DDX3Y,8653,ENSG00000067048,2,2,0,1,1,0,1,1,6,6
37,MIMAT0002820,hsa-miR-497-5p,E2F3,1871,ENSG00000112242,2,2,0,1,1,0,1,1,6,6
38,MIMAT0002820,hsa-miR-497-5p,EPB41L4B,54566,ENSG00000095203,2,6,0,1,0,1,2,1,6,6
39,MIMAT0002820,hsa-miR-497-5p,FGF2,2247,ENSG00000138685,1,4,0,0,1,1,2,3,6,6
40,MIMAT0002820,hsa-miR-497-5p,FGFR1,2260,ENSG00000077782,2,4,0,1,1,1,3,0,6,6
41,MIMAT0002820,hsa-miR-497-5p,GALNT7,51809,ENSG00000109586,2,4,0,1,1,0,3,1,6,6
42,MIMAT0002820,hsa-miR-497-5p,GHR,2690,ENSG00000112964,2,2,0,1,1,0,1,1,6,6
43,MIMAT0002820,hsa-miR-497-5p,GPR63,81491,ENSG00000112218,2,4,2,0,2,1,1,0,6,6
44,MIMAT0002820,hsa-miR-497-5p,HIGD1A,25994,ENSG00000181061,1,2,1,1,0,0,1,1,6,6
45,MIMAT0002820,hsa-miR-497-5p,HTR4,3360,ENSG00000164270,0,2,1,1,0,1,1,1,6,6
46,MIMAT0002820,hsa-miR-497-5p,INSR,3643,ENSG00000171105,1,2,1,0,2,1,2,0,6,6
47,MIMAT0002820,hsa-miR-497-5p,KCNJ2,3759,ENSG00000123700,2,4,0,0,1,1,1,1,6,6
48,MIMAT0002820,hsa-miR-497-5p,KDSR,2531,ENSG00000119537,2,2,0,0,1,1,1,1,6,6
49,MIMAT0002820,hsa-miR-497-5p,KIF5C,3800,ENSG00000168280,1,4,0,0,1,1,1,1,6,6
50,MIMAT0002820,hsa-miR-497-5p,MED26,9441,ENSG00000105085,2,2,0,1,1,0,1,1,6,6
51,MIMAT0002820,hsa-miR-497-5p,MEOX2,4223,ENSG00000106511,2,2,0,1,1,0,1,1,6,6
52,MIMAT0002820,hsa-miR-497-5p,MGAT4A,11320,ENSG00000071073,2,2,0,1,2,1,0,1,6,6
53,MIMAT0002820,hsa-miR-497-5p,MKX,283078,ENSG00000150051,1,2,0,1,2,0,1,1,6,6
54,MIMAT0002820,hsa-miR-497-5p,MYBL1,4603,ENSG00000185697,1,2,0,2,1,1,0,1,6,6
55,MIMAT0002820,hsa-miR-497-5p,MYLK,4638,ENSG00000065534,2,2,0,1,2,0,1,1,6,6
56,MIMAT0002820,hsa-miR-497-5p,N4BP1,9683,ENSG00000102921,2,2,0,1,1,1,0,1,6,6
57,MIMAT0002820,hsa-miR-497-5p,NRBP1,29959,ENSG00000115216,2,2,2,1,0,0,1,1,6,6
58,MIMAT0002820,hsa-miR-497-5p,OMG,4974,ENSG00000126861,2,2,0,1,1,0,1,1,6,6
59,MIMAT0002820,hsa-miR-497-5p,PCMT1,5110,ENSG00000120265,2,4,1,2,1,0,1,0,6,6
60,MIMAT0002820,hsa-miR-497-5p,PHF19,26147,ENSG00000119403,2,8,0,1,2,1,0,1,6,6
